scenario,fiscal_year,metric,value,unit
CAPEX Spillover,2027,required_re_rate_delta_vs_fy26_nominal,0.006271645796434133,USD_per_100_AV
CAPEX Spillover,2027,required_re_rate_delta_vs_fy27_nominal,0.04727164579643417,USD_per_100_AV
CAPEX Spillover,2027,debt_service_total,153192809.0,USD
CAPEX Spillover,2027,debt_service_to_revenue_ratio,0.07173347856775743,fraction
CAPEX Spillover,2027,debt_service_headroom_vs_10pct_cap,60365507.226500005,USD
CAPEX Spillover,2027,debt_service_cap_breached,0.0,boolean
CAPEX Spillover,2027,unassigned_gf_balance_eoy,50555750.31829977,USD
CAPEX Spillover,2027,unassigned_gf_balance_policy_floor_7_5pct,160168737.169875,USD
CAPEX Spillover,2027,unassigned_gf_balance_floor_breached,1.0,boolean
CAPEX Spillover,2028,total_revenue,2130418307.794275,USD
CAPEX Spillover,2028,split_base_eligible_for_schools_transfer,1717543116.0,USD
CAPEX Spillover,2028,schools_transfer,982949925.2868,USD
CAPEX Spillover,2028,total_committed_expenditure,2284170065.4168,USD
CAPEX Spillover,2028,surplus_or_deficit,-153751757.62252498,USD
CAPEX Spillover,2028,real_estate_tax_revenue,952056392.4,USD
CAPEX Spillover,2028,assessed_value_base,142948675281.6,USD
CAPEX Spillover,2028,required_re_tax_rate_effective_per_100,0.7735700578156122,USD_per_100_AV
CAPEX Spillover,2028,required_re_tax_rate_nominal_per_100,0.9394832069449661,USD_per_100_AV
CAPEX Spillover,2028,required_re_rate_delta_vs_fy26_nominal,0.03348320694496609,USD_per_100_AV
CAPEX Spillover,2028,required_re_rate_delta_vs_fy27_nominal,0.07448320694496613,USD_per_100_AV
CAPEX Spillover,2028,debt_service_total,161363914.0,USD
CAPEX Spillover,2028,debt_service_to_revenue_ratio,0.07574283107201978,fraction
CAPEX Spillover,2028,debt_service_headroom_vs_10pct_cap,51677916.77942753,USD
CAPEX Spillover,2028,debt_service_cap_breached,0.0,boolean
CAPEX Spillover,2028,unassigned_gf_balance_eoy,-103196007.3042252,USD
CAPEX Spillover,2028,unassigned_gf_balance_policy_floor_7_5pct,159781373.08457062,USD
CAPEX Spillover,2028,unassigned_gf_balance_floor_breached,1.0,boolean
CAPEX Spillover,2029,total_revenue,2111441538.4870746,USD
CAPEX Spillover,2029,split_base_eligible_for_schools_transfer,1692521532.0,USD
CAPEX Spillover,2029,schools_transfer,968630072.7636001,USD
CAPEX Spillover,2029,total_committed_expenditure,2349588768.7836003,USD
CAPEX Spillover,2029,surplus_or_deficit,-238147230.29652572,USD
CAPEX Spillover,2029,real_estate_tax_revenue,930323127.0,USD
CAPEX Spillover,2029,assessed_value_base,145807648787.23203,USD
CAPEX Spillover,2029,required_re_tax_rate_effective_per_100,0.8013779572027812,USD_per_100_AV
CAPEX Spillover,2029,required_re_tax_rate_nominal_per_100,0.9732552670586057,USD_per_100_AV
CAPEX Spillover,2029,required_re_rate_delta_vs_fy26_nominal,0.06725526705860563,USD_per_100_AV
CAPEX Spillover,2029,required_re_rate_delta_vs_fy27_nominal,0.10825526705860566,USD_per_100_AV
CAPEX Spillover,2029,debt_service_total,171711276.0,USD
CAPEX Spillover,2029,debt_service_to_revenue_ratio,0.0813241914919593,fraction
CAPEX Spillover,2029,debt_service_headroom_vs_10pct_cap,39432877.84870747,USD
CAPEX Spillover,2029,debt_service_cap_breached,0.0,boolean
CAPEX Spillover,2029,unassigned_gf_balance_eoy,-341343237.6007509,USD
CAPEX Spillover,2029,unassigned_gf_balance_policy_floor_7_5pct,158358115.38653058,USD
CAPEX Spillover,2029,unassigned_gf_balance_floor_breached,1.0,boolean
CAPEX Spillover,2030,total_revenue,2090817543.8766222,USD
CAPEX Spillover,2030,split_base_eligible_for_schools_transfer,1665704974.0,USD
CAPEX Spillover,2030,schools_transfer,953282956.6202,USD
CAPEX Spillover,2030,total_committed_expenditure,2397970836.2902,USD
CAPEX Spillover,2030,surplus_or_deficit,-307153292.41357803,USD
CAPEX Spillover,2030,real_estate_tax_revenue,910155300.2,USD
CAPEX Spillover,2030,assessed_value_base,148723801762.97662,USD
CAPEX Spillover,2030,required_re_tax_rate_effective_per_100,0.8185028745792965,USD_per_100_AV
CAPEX Spillover,2030,required_re_tax_rate_nominal_per_100,0.9940530889662771,USD_per_100_AV
CAPEX Spillover,2030,required_re_rate_delta_vs_fy26_nominal,0.08805308896627706,USD_per_100_AV
CAPEX Spillover,2030,required_re_rate_delta_vs_fy27_nominal,0.1290530889662771,USD_per_100_AV
CAPEX Spillover,2030,debt_service_total,176021071.0,USD
CAPEX Spillover,2030,debt_service_to_revenue_ratio,0.08418767649789095,fraction
CAPEX Spillover,2030,debt_service_headroom_vs_10pct_cap,33060683.387662232,USD
CAPEX Spillover,2030,debt_service_cap_breached,0.0,boolean
CAPEX Spillover,2030,unassigned_gf_balance_eoy,-648496530.014329,USD
CAPEX Spillover,2030,unassigned_gf_balance_policy_floor_7_5pct,156811315.79074666,USD
CAPEX Spillover,2030,unassigned_gf_balance_floor_breached,1.0,boolean
CAPEX Spillover,2031,total_revenue,2076145437.5511274,USD
CAPEX Spillover,2031,split_base_eligible_for_schools_transfer,1644688013.4888983,USD
CAPEX Spillover,2031,schools_transfer,941254950.1196965,USD
CAPEX Spillover,2031,total_committed_expenditure,2444394456.9196963,USD
CAPEX Spillover,2031,surplus_or_deficit,-368249019.3685689,USD
CAPEX Spillover,2031,real_estate_tax_revenue,892728207.9955593,USD
CAPEX Spillover,2031,assessed_value_base,151698277798.23618,USD
CAPEX Spillover,2031,required_re_tax_rate_effective_per_100,0.8312403052072024,USD_per_100_AV
CAPEX Spillover,2031,required_re_tax_rate_nominal_per_100,1.0095224082007044,USD_per_100_AV
CAPEX Spillover,2031,required_re_rate_delta_vs_fy26_nominal,0.10352240820070435,USD_per_100_AV
CAPEX Spillover,2031,required_re_rate_delta_vs_fy27_nominal,0.1445224082007044,USD_per_100_AV
CAPEX Spillover,2031,debt_service_total,175419137.0,USD
CAPEX Spillover,2031,debt_service_to_revenue_ratio,0.08449270163217075,fraction
CAPEX Spillover,2031,debt_service_headroom_vs_10pct_cap,32195406.755112767,USD
CAPEX Spillover,2031,debt_service_cap_breached,0.0,boolean
CAPEX Spillover,2031,unassigned_gf_balance_eoy,-1016745549.3828979,USD
CAPEX Spillover,2031,unassigned_gf_balance_policy_floor_7_5pct,155710907.81633455,USD
CAPEX Spillover,2031,unassigned_gf_balance_floor_breached,1.0,boolean
Partial Recovery,2027,total_revenue,2198479080.95,USD
Partial Recovery,2027,split_base_eligible_for_schools_transfer,1787398725.0,USD
Partial Recovery,2027,schools_transfer,1022928290.3175001,USD
Partial Recovery,2027,total_committed_expenditure,2253365326.0475,USD
Partial Recovery,2027,surplus_or_deficit,-54886245.097500324,USD
Partial Recovery,2027,real_estate_tax_revenue,1008899900.2,USD
Partial Recovery,2027,assessed_value_base,141519738120.0,USD
Partial Recovery,2027,required_re_tax_rate_effective_per_100,0.7516874744323476,USD_per_100_AV
Partial Recovery,2027,required_re_tax_rate_nominal_per_100,0.91290730809076,USD_per_100_AV
Partial Recovery,2027,required_re_rate_delta_vs_fy26_nominal,0.0069073080907600115,USD_per_100_AV
Partial Recovery,2027,required_re_rate_delta_vs_fy27_nominal,0.04790730809076005,USD_per_100_AV
Partial Recovery,2027,debt_service_total,153192809.0,USD
Partial Recovery,2027,debt_service_to_revenue_ratio,0.06968126753055244,fraction
Partial Recovery,2027,debt_service_headroom_vs_10pct_cap,66655099.095,USD
Partial Recovery,2027,debt_service_cap_breached,0.0,boolean
Partial Recovery,2027,unassigned_gf_balance_eoy,79837754.90249968,USD
Partial Recovery,2027,unassigned_gf_balance_policy_floor_7_5pct,164885931.07125,USD
