fiscal_year,scenario,revenue_line,amount_usd
2031,low_with_spillover,local_sales_tax,91526657.0
2027,low_with_spillover,bpol_tax,35080891.0
2028,low_with_spillover,bpol_tax,33111870.0
2029,low_with_spillover,bpol_tax,31253367.0
2030,low_with_spillover,bpol_tax,29499178.0
2031,low_with_spillover,bpol_tax,27843448.0
2027,low_with_spillover,food_and_beverage_tax,27923840.0
2028,low_with_spillover,food_and_beverage_tax,21697136.0
2029,low_with_spillover,food_and_beverage_tax,21073648.0
2030,low_with_spillover,food_and_beverage_tax,20468075.0
2031,low_with_spillover,food_and_beverage_tax,19879905.0
2027,low_with_spillover,consumer_utility_tax,15345000.0
2028,low_with_spillover,consumer_utility_tax,15191550.0
2029,low_with_spillover,consumer_utility_tax,15039634.0
2030,low_with_spillover,consumer_utility_tax,14889238.0
2031,low_with_spillover,consumer_utility_tax,14740346.0
2027,low_with_spillover,communications_sales_tax,10925000.0
2028,low_with_spillover,communications_sales_tax,10378750.0
2029,low_with_spillover,communications_sales_tax,9859812.0
2030,low_with_spillover,communications_sales_tax,9366822.0
2031,low_with_spillover,communications_sales_tax,8898481.0
2027,low_with_spillover,motor_vehicle_license,13323050.0
2028,low_with_spillover,motor_vehicle_license,13256435.0
2029,low_with_spillover,motor_vehicle_license,13190153.0
2030,low_with_spillover,motor_vehicle_license,13124202.0
2031,low_with_spillover,motor_vehicle_license,13058581.0
2027,low_with_spillover,recordation_tax,2716000.0
2028,low_with_spillover,recordation_tax,2634520.0
2029,low_with_spillover,recordation_tax,2555484.0
2030,low_with_spillover,recordation_tax,2478820.0
2031,low_with_spillover,recordation_tax,2404455.0
2027,low_with_spillover,transient_occupancy_tax,2574000.0
2028,low_with_spillover,transient_occupancy_tax,2548260.0
2029,low_with_spillover,transient_occupancy_tax,2522777.0
2030,low_with_spillover,transient_occupancy_tax,2497550.0
2031,low_with_spillover,transient_occupancy_tax,2472574.0
2027,low_with_spillover,cigarette_tax,3610000.0
2028,low_with_spillover,cigarette_tax,3429500.0
2029,low_with_spillover,cigarette_tax,3258025.0
2030,low_with_spillover,cigarette_tax,3095124.0
2031,low_with_spillover,cigarette_tax,2940368.0
2027,low_with_spillover,investment_income,27440000.0
2028,low_with_spillover,investment_income,25480000.0
2029,low_with_spillover,investment_income,23520000.0
2030,low_with_spillover,investment_income,21560000.0
2031,low_with_spillover,investment_income,19600000.0
2027,low_with_spillover,state_aid_gf_direct,13183661.0
2028,low_with_spillover,state_aid_gf_direct,13272922.0
2029,low_with_spillover,state_aid_gf_direct,13362788.0
2030,low_with_spillover,state_aid_gf_direct,13453262.0
2031,low_with_spillover,state_aid_gf_direct,13544349.0
2027,low_with_spillover,federal_pilt,80000.0
2028,low_with_spillover,federal_pilt,80000.0
2029,low_with_spillover,federal_pilt,80000.0
2030,low_with_spillover,federal_pilt,80000.0
2031,low_with_spillover,federal_pilt,80000.0
2027,low_with_spillover,pptra_fixed_reimbursement,54288000.0
2028,low_with_spillover,pptra_fixed_reimbursement,54288000.0
2029,low_with_spillover,pptra_fixed_reimbursement,54288000.0
2030,low_with_spillover,pptra_fixed_reimbursement,54288000.0
2031,low_with_spillover,pptra_fixed_reimbursement,54288000.0
